DDX11L1	0	0
MIR1302-10	0	0
OR4G4P	0	0
OR4G11P	0	0
OR4F5	0	0
CICP27	0.186562	0.226744
RP11-34P13.9	0	0
RP4-669L17.10,RP4-669L17.4,RP4-669L17.8	6.04807	2.66531
OR4F29	0	0
RP5-857K21.15	0	0
RP4-669L17.1	0	0
RP5-857K21.2	0	0
MTND1P23	12.189	46.9891
MTND2P28	346.639	434.713
hsa-mir-6723	123.91	201.664
RP5-857K21.7	11.1863	18.2785
MTATP6P1,MTATP8P1,RP5-857K21.11	1731.46	2651.78
WBP1LP6	0	0
CICP3	0.0307727	0.108368
RP11-206L10.4	0	0
RP11-206L10.9	6.47035	3.24855
FAM87B	0.0517539	0.0754318
LINC01128	21.6261	18.048
TUBB8P11	0	0
AL645608.2	0	0
RP11-54O7.16	0	0
RP11-54O7.1,RP11-54O7.2	0.0233476	0.0352565
SAMD11	0.117453	0.412168
KLHL17	4.76401	7.7832
PLEKHN1	0	0
ISG15	67.2758	239.727
AGRN	16.4516	19.6476
RP11-465B22.3	38.1821	63.2508
RP11-465B22.5	1.75186	1.19533
MIR200B	0	0
MIR200A	0	0
MIR429	0	0
RP11-465B22.8	0.785641	0.596411
TTLL10	3.08246	1.9944
B3GALT6	4.5899	9.76588
RP5-902P8.10	3.30529	2.46521
SCNN1D	10.7073	2.64791
PUSL1	7.82796	17.1659
GLTPD1	3.73237	9.43456
TAS1R3	0.0701737	0.240998
RP5-890O3.3	0	0.302152
RP4-758J18.2	10.578	12.0522
RP4-758J18.13	3.40895	5.90271
RP4-758J18.7	0	0
TMEM88B	2.67122	2.34596
VWA1	0.122177	0.20026
ATAD3C	0.89046	1.44707
ATAD3B	11.5405	26.9916
ATAD3A	13.7515	21.0506
AL645728.1	0.31855	0.497501
AL645728.3	0	0
MIB2	9.26795	14.4207
MMP23B	0.746742	0.967691
RP11-345P4.10	0.420199	0
RP11-345P4.6,RP11-345P4.7	1.90886	0.772591
MMP23A	0	0
RP1-283E3.4	1.68077	1.06033
RP1-140A9.1	0	0.0518639
CALML6	0	0.120762
GABRD	0	0
PRKCZ	1.795	1.37125
AL590822.2	0.991041	1.28938
RP11-181G12.4	0	0
SKI	6.14435	11.7793
AL589739.1	0.193251	0.291981
AL513477.1	0.0402631	0.17471
RER1	55.2454	61.9707
PLCH2	2.05767	1.34816
RP3-395M20.12	1.53986	2.42267
TNFRSF14	45.6084	38.1378
RP3-395M20.7	0.38264	0.45644
RP3-395M20.9	4.16501	3.72367
FAM213B	16.4402	17.0329
RP13-436F16.1	0	0
ACTRT2	0.0285941	0
PRDM16	0.147528	0
ARHGEF16	0.189051	0.512395
RP11-168F9.2	0.151366	0
TPRG1L	7.10548	12.2376
TP73	0	0
CCDC27	0	0
SMIM1	0	0.13756
RN7SL574P	0.283287	0.27776
RP1-286D6.5	3.41098	4.21522
DFFB	4.22484	4.9081
LINC01134	0	0.286908
RP13-614K11.1	0	0
RP5-1166F10.1	0	0
RP1-37J18.2	0	0
AJAP1	0.040795	0
RP1-58B11.1	0	0
MIR4417	0	0
KCNAB2	125.13	96.9778
RNF207	0.361635	0.970605
LINC00337	0.634743	0.995883
HES3	0	0
RP1-202O8.3	0.628367	0.684007
ESPN	11.936	6.26325
RNU6-731P	0	0
RP11-58A11.2	0	1.97141
TAS1R1	0.0227908	0
ZBTB48	9.56329	6.99421
PHF13	12.3222	29.7527
THAP3	6.59425	11.7671
RP11-242F24.1	0	0
snoU13	0	0
CAMTA1	31.8619	31.7776
RNU1-8P	0	0
CAMTA1-IT1	0	0
VAMP3	22.9381	27.9364
RP3-467L1.6	2.29327	2.78752
PER3	0.450881	0.403984
RP5-892F13.2	0	0
PARK7	248.156	230.681
RP11-431K24.1	0	0.0121147
RP11-431K24.2	0	0
RP11-431K24.3	0	0
SLC45A1	0.105203	0.108292
Y_RNA	0	0
RP5-1115A15.1	0	0
RP5-1115A15.2	0	0
RPL7P11	0	0
RP4-633I8.3	0	0
RP11-185B14.1	0	0
ENO1-AS1	0.752487	0.11619
HMGN2P17	0.0494082	0
RP3-477M7.6	0	0
CA6	2.69279	0.557909
SCARNA16	0	0
RP3-510D11.2	0	0
H6PD	7.41008	3.94691
Z98044.1	0	0
SPSB1	2.71436	8.84878
SLC25A33	7.64427	9.09948
RP13-15M17.1	0.105483	0.309495
TMEM201	5.55933	6.98408
PIK3CD	43.6765	28.2953
RP11-558F24.6	0	0
RP11-84A14.5	0.273517	1.08711
RP11-84A14.4	0.151495	0.470225
NMNAT1	3.73743	3.76144
RN7SKP269	1.03367	0.344657
MIR5697	0	0
RBP7	0	0.0507845
UBE4B	9.0143	9.57605
PGAM1P11	0	0
RNU6-828P	0	0
KIF1B	6.94041	7.2377
MIR1273D	0	0
RNU6-37P	0	0
RN7SL721P	0	0
PGD	96.7206	114.568
APITD1,APITD1-CORT,CORT	18.3165	14.8308
RP5-1113E3.3	20.1041	18.1148
PEX14	24.2397	20.6463
RN7SL614P	0	0
RP4-734G22.3	0.351259	0.559135
HSPE1P24	0	0
TARDBP	104.426	108.363
RP4-635E18.8	3.62243	6.82994
RP4-635E18.7	1.31085	1.45345
RP4-635E18.6	5.08966	2.68496
MTOR-AS1	0	0
RNU6-537P	0	0
ANGPTL7	0	0
RNU6-291P	0	0
RPL39P6	0	0
UBIAD1	10.4857	17.5873
PTCHD2	0.146086	0.322262
RP1-69M21.2	0.0857613	0.0286793
FBXO44	8.35318	6.26252
FBXO6	10.0784	11.7438
DRAXIN	0.928219	0.488003
